id;name;email;phone_number;nib;nif;birthday;address;photo;favourite_transport;number_of_deliveries;number_of_km;received_value;value_to_receive;ranking
1;plum holistic;Cullen2@yahoo.com;index Republic navigate;Czech overriding;64468;2021-05-14;Cotton;Mountain Fork;Incredible Right-sized plug-and-play;61313;58521;26403;31899;51178
2;virtual;Diego_Ryan@gmail.com;Seychelles Card;generate face;90339;2021-05-14;calculate Practical Home;harness Krone groupware;algorithm;97324;26367;16591;56346;80047
3;indigo Soft;Malachi.Gutkowski70@hotmail.com;Fantastic virtual;Designer Tasty;81381;2021-05-14;Designer Senior;Plastic;Senior Architect;20289;82405;69143;61522;95517
4;open-source Practical;Laury51@gmail.com;Director Auto;Tajikistan Outdoors AGP;15822;2021-05-14;Account Ameliorated;auxiliary Tasty Refined;Borders Organized International;85785;90899;78655;64130;71143
5;Senior;Kasandra71@yahoo.com;Reactive Sausages;web-enabled;39923;2021-05-13;Chips payment THX;Rubber Division COM;e-services Rustic indigo;92979;54208;26118;81495;14939
6;Account revolutionary;Wilbert_Emard@hotmail.com;Square;Austria;55197;2021-05-13;Shirt;fresh-thinking;Generic;32712;66089;72220;82464;39188
7;monitor teal Small;Justina65@gmail.com;Berkshire Sports clicks-and-mortar;Zealand Computers;55778;2021-05-14;Corners;migration Specialist improvement;payment synergies Chair;55487;70031;30147;2153;61986
8;Credit;Sage_Kuhn2@gmail.com;groupware open-source Corporate;infrastructure bandwidth Product;78362;2021-05-14;deposit Handcrafted;Factors;Oregon;37419;28676;75104;49423;15556
9;Berkshire Ergonomic;Mackenzie52@gmail.com;repurpose web-readiness Manager;Interface Run;38437;2021-05-14;Pass;infomediaries;synthesize Groves;48;44260;24529;87986;77106
10;California;Jalen97@yahoo.com;Platinum;Frozen customized;22431;2021-05-14;Cotton mindshare;architect array Leu;enhance;34382;30499;59282;31485;7702
