id;phone_number;nib;nif;birthday;address;link_social;number_requests;payed_value;value_to_pay;ranking;number_of_deliveries;number_of_km
1;mission-critical;Accounts;2884;2021-10-19T18:31:15;Ergonomic Officer;Rubber Unbranded withdrawal;74009;16607;91933;46755;64116;30906
2;content Tasty Idaho;Market Self-enabling;43406;2021-10-19T14:09:34;Kids iterate secondary;redundant;65739;64072;39672;40113;80884;75786
3;Designer New;Account Plaza;55269;2021-10-19T00:54:21;Automotive payment Small;New Optimization Fundamental;33324;65567;25504;9268;10772;44381
4;Tasty Metal Togo;Home California Rustic;41030;2021-10-19T18:06:35;Grocery;front-end;94979;21092;99930;94238;91145;85250
5;Argentina Plastic South;cross-platform bandwidth interfaces;25995;2021-10-19T13:32:22;Bacon Account;bricks-and-clicks;60471;78804;33277;8639;31292;37703
6;Concrete Pound;facilitate;60307;2021-10-19T17:04:51;infrastructures circuit Iowa;Coordinator;63954;67218;75350;19841;87116;80169
7;e-enable Roads;Factors;86465;2021-10-19T21:57:30;Triple-buffered analyzing Wooden;networks Mauritania Associate;14905;34740;47250;65365;53391;39387
8;Creative;Reactive;11462;2021-10-19T03:58:50;Music back Refined;ability;35890;47235;81454;91990;32602;72452
9;Refined deploy pink;Pants Turnpike;36;2021-10-19T19:27:27;black Metal;Peso;13070;40078;2294;68664;49787;85468
10;orchestration generating context-sensitive;deposit;94321;2021-10-19T08:05:00;Cambodia coherent;Ergonomic;11061;2061;79937;77057;60572;44261
